species001	PMID:21183147	med	025	Lancet Infect Dis. 11(1):57-64, 2011
species002	PMID:21807108	myc	071	Fungal Genet Biol. 48(11):1004-11, 2011
species003	PMID:21183148	med	026	Lancet Infect Dis. 11(1):65-71, 2011
species004	PMID:20961294	bot	081	New Phytol. 189(3):710-22, 2011
species005	PMID:21807107	myc	070	Fungal Genet Biol. 48(10):998-9, 2011
species006	PMID:20797444	myc	011	Fungal Genet Biol. 48(2):92-103, 2011
species007	PMID:21565476	pro	088	Eur J Protistol. 47(3):197-207, 2011
species008	PMID:21565477	pro	089	Eur J Protistol. 47(3):172-85, 2011
species009	PMID:21276719	pro	077	Eur J Protistol. 47(2):59-66, 2011
species010	PMID:20951091	med	008	Lancet Oncol. 12(4):399-408, 2011
species011	PMID:21075927	bac	047	J Bacteriol. 193(2):377-88, 2011
species012	PMID:21182519	zoo	043	J Anim Ecol. 80(2):375-83, 2011
species013	PMID:21073976	myc	030	Fungal Genet Biol. 48(4):353-8, 2011
species014	PMID:21182521	zoo	045	J Anim Ecol. 80(2):414-21, 2011
species015	PMID:20840508	bot	057	New Phytol. 189(1):241-52, 2011
species016	PMID:21303365	zoo	063	J Anim Ecol. 80(3):657-67, 2011
species017	PMID:21276754	med	049	Lancet Oncol. 12(8):806-14, 2011
species018	PMID:20955222	bot	016	Plant Cell Environ. 34(2):245-60, 2011
species019	PMID:20955223	bot	017	Plant Cell Environ. 34(2):261-9, 2011
species020	PMID:20955224	bot	068	Plant Cell Environ. 34(2):270-83, 2011
species021	PMID:20955225	bot	019	Plant Cell Environ. 34(2):284-90, 2011
species022	PMID:20955226	bot	020	Plant Cell Environ. 34(2):291-301, 2011
species023	PMID:20955227	bot	021	Plant Cell Environ. 34(2):302-13, 2011
species024	PMID:20971620	pro	074	Eur J Protistol. 47(1):29-50, 2011
species025	PMID:20955241	ent	009	Insect Mol Biol. 20(1):61-73, 2011
species026	PMID:20840555	zoo	011	J Anim Ecol. 80(1):171-82, 2011
species027	PMID:20932726	pro	071	Eur J Protistol. 47(1):16-23, 2011
species028	PMID:20637818	myc	093	Fungal Genet Biol. 47(12):1001-11, 2010
species029	PMID:20951165	vir	016	J Virol Methods. 171(1):86-90, 2011
species030	PMID:20951166	vir	017	J Virol Methods. 171(1):98-101, 2011
species031	PMID:20951167	vir	018	J Virol Methods. 171(1):91-7, 2011
species032	PMID:21420161	med	069	Lancet. 378(9785):57-72, 2011
species033	PMID:20854921	myc	016	Fungal Genet Biol. 48(3):306-26, 2011
species034	PMID:20971202	myc	027	Fungal Genet Biol. 48(2):154-65, 2011
species035	PMID:21323921	zoo	065	J Anim Ecol. 80(3):696-704, 2011
species036	PMID:21323922	zoo	066	J Anim Ecol. 80(3):615-21, 2011
species037	PMID:21323923	zoo	067	J Anim Ecol. 80(3):622-31, 2011
species038	PMID:20840607	zoo	012	J Anim Ecol. 80(1):89-100, 2011
species039	PMID:20840609	bot	060	New Phytol. 189(1):210-7, 2011
species040	PMID:20840610	bot	061	New Phytol. 189(1):308-20, 2011
species041	PMID:21220038	myc	052	Fungal Genet Biol. 48(4):370-6, 2011
species042	PMID:21426342	zoo	087	J Anim Ecol. 80(5):990-8, 2011
species043	PMID:21426343	zoo	088	J Anim Ecol. 80(6):1196-206, 2011
species044	PMID:21426344	zoo	089	J Anim Ecol. 80(5):938-46, 2011
species045	PMID:21199018	ent	022	Insect Mol Biol. 20(2):225-42, 2011
species046	PMID:21199019	ent	023	Insect Mol Biol. 20(3):303-10, 2011
species047	PMID:21199020	ent	024	Insect Mol Biol. 20(2):243-56, 2011
species048	PMID:21199022	ent	026	Insect Mol Biol. 20(3):311-21, 2011
species049	PMID:21353502	pro	081	Eur J Protistol. 47(2):86-102, 2011
species050	PMID:20809921	zoo	006	J Anim Ecol. 80(1):101-7, 2011
species051	PMID:20869315	med	007	Lancet Oncol. 12(1):92-9, 2011
species052	PMID:21067973	med	011	Lancet Oncol. 12(5):504-12, 2011
species053	PMID:21366563	zoo	071	J Anim Ecol. 80(4):799-808, 2011
species054	PMID:20173001	pro	055	Int J Syst Evol Microbiol. 61(Pt 1):155-9, 2011
species055	PMID:20173004	pro	058	Int J Syst Evol Microbiol. 61(Pt 1):138-43, 2011
species056	PMID:20173006	pro	060	Int J Syst Evol Microbiol. 61(Pt 1):128-31, 2011
species057	PMID:20173007	pro	061	Int J Syst Evol Microbiol. 61(Pt 1):123-7, 2011
species058	PMID:20601040	myc	004	Fungal Genet Biol. 48(2):177-84, 2011
species059	PMID:20173009	pro	063	Int J Syst Evol Microbiol. 61(Pt 1):105-9, 2011
species060	PMID:20173011	pro	065	Int J Syst Evol Microbiol. 61(Pt 1):110-7, 2011
species061	PMID:20173012	pro	066	Int J Syst Evol Microbiol. 61(Pt 1):99-104, 2011
species062	PMID:20173013	pro	067	Int J Syst Evol Microbiol. 61(Pt 1):35-9, 2011
species063	PMID:21272794	med	048	Lancet Infect Dis. 11(2):142-51, 2011
species064	PMID:21131484	bac	076	J Bacteriol. 193(4):842-53, 2011
species065	PMID:21418207	zoo	082	J Anim Ecol. 80(4):884-95, 2011
species066	PMID:21418208	zoo	083	J Anim Ecol. 80(4):875-83, 2011
species067	PMID:21418209	zoo	084	J Anim Ecol. 80(4):786-98, 2011
species068	PMID:21418210	zoo	085	J Anim Ecol. 80(5):908-17, 2011
species069	PMID:21131491	bac	081	J Bacteriol. 193(3):660-9, 2011
species070	PMID:21188839	zoo	047	J Anim Ecol. 80(1):1-3, 2011
species071	PMID:21131496	bac	083	J Bacteriol. 193(3):686-94, 2011
species072	PMID:21185234	med	027	Lancet Neurol. 10(3):280-8, 2011
species073	PMID:20519150	myc	005	Fungal Genet Biol. 48(1):4-14, 2011
species074	PMID:20044015	myc	089	Fungal Genet Biol. 47(4):310-7, 2010
species075	PMID:21029104	bot	087	New Phytol. 189(2):438-48, 2011
species076	PMID:21338353	zoo	068	J Anim Ecol. 80(5):958-67, 2011
species077	PMID:22182611	ent	088	Environ Entomol. 40(1):52-8, 2011
species078	PMID:20887797	myc	019	Fungal Genet Biol. 48(2):71-9, 2011
species079	PMID:21029116	bot	022	Plant Cell Environ. 34(1):113-26, 2011
species080	PMID:21029117	bot	073	Plant Cell Environ. 34(1):127-36, 2011
species081	PMID:20580606	med	001	Lancet Oncol. 12(1):100-8, 2011
species082	PMID:21498113	pro	038	Protist. 162(4):668-78, 2011
species083	PMID:21498115	med	095	Lancet Oncol. 12(6):604-8, 2011
species084	PMID:21463300	zoo	090	J Anim Ecol. 80(3):505-7, 2011
species085	PMID:21463301	zoo	091	J Anim Ecol. 80(3):688-95, 2011
species086	PMID:21256454	med	038	Lancet Neurol. 10(2):148-61, 2011
species087	PMID:21459211	med	082	Lancet. 377(9772):1198-209, 2011
species088	PMID:21111055	myc	035	Fungal Genet Biol. 48(3):225-40, 2011
species089	PMID:21109013	myc	034	Fungal Genet Biol. 48(3):241-51, 2011
species090	PMID:22182617	ent	094	Environ Entomol. 40(1):94-102, 2011
species091	PMID:21205278	ent	027	Insect Mol Biol. 20(2):267-78, 2011
species092	PMID:22182619	ent	096	Environ Entomol. 40(1):111-9, 2011
species093	PMID:20971912	bac	016	J Bacteriol. 193(1):63-74, 2011
species094	PMID:20840499	bot	055	New Phytol. 189(1):160-75, 2011
species095	PMID:21083871	zoo	032	J Anim Ecol. 80(2):448-55, 2011
species096	PMID:21496127	ent	038	Insect Mol Biol. 20(4):429-36, 2011
species097	PMID:21496128	ent	039	Insect Mol Biol. 20(4):437-45, 2011
species098	PMID:21184840	myc	047	Fungal Genet Biol. 48(4):418-29, 2011
species099	PMID:21074256	med	012	Lancet. 377(9771):1113-21, 2011
species100	PMID:21182520	zoo	044	J Anim Ecol. 80(2):431-7, 2011
species101	PMID:20633690	myc	092	Fungal Genet Biol. 47(12):1023-33, 2010
species102	PMID:21073977	myc	031	Fungal Genet Biol. 48(2):132-43, 2011
species103	PMID:20796206	zoo	005	J Anim Ecol. 80(1):204-14, 2011
species104	PMID:21600998	myc	087	Fungal Genet Biol. 48(8):784-92, 2011
species105	PMID:21907817	myc	079	Fungal Genet Biol. 48(11):1044-55, 2011
species106	PMID:21907818	myc	080	Fungal Genet Biol. 48(11):1062-70, 2011
species107	PMID:21039479	zoo	024	J Anim Ecol. 80(1):225-34, 2011
species108	PMID:20971900	bac	005	J Bacteriol. 193(1):143-53, 2011
species109	PMID:20971901	bac	006	J Bacteriol. 193(1):107-15, 2011
species110	PMID:20971902	bac	007	J Bacteriol. 193(1):163-76, 2011
species111	PMID:20971903	bac	008	J Bacteriol. 193(1):197-204, 2011
